SBD,Toan,Van,Ly,Sinh,Ngoai ngu,Year,Hoa,Lich su,Dia ly,GDCD,MaTinh
8002816,7.8,8.25,7.5,7,6.2,2017,,,,,8
8005707,3,3.25,2.75,3,3.2,2017,,,,,8
8004883,6,5.25,,,4.8,2017,,,,,8
8004786,2.4,3.75,,,,2017,,,,,8
8004225,4.2,4,,,3,2017,,,,,8
8001882,3.2,5.75,,,3.8,2017,,,,,8
8003558,4.6,6,,,,2017,,,,,8
8004936,4,5.75,,,2.8,2017,,,,,8
8001749,1.4,3.5,,,,2017,,,,,8
8000321,4.2,6.75,4.75,4.5,4,2017,,,,,8
8002007,6,6.25,,,3.8,2017,,,,,8
8004580,2.6,5,,,2.8,2017,,,,,8
8004606,1.8,3.5,,,2.4,2017,,,,,8
8004354,4.8,6.25,,,3.4,2017,,,,,8
8002236,3.4,5.25,,,3.4,2017,,,,,8
8003514,5.8,5.25,6.5,6.25,6.4,2017,,,,,8
8004288,3.2,4.75,,,3.4,2017,,,,,8
8002996,8,7.5,7.5,3.75,5,2017,,,,,8
8001343,5,6.75,4.5,6,5.2,2017,,,,,8
